Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Ticker_ADANIENT.NS,Ticker_ADANIPORTS.NS,Ticker_APOLLOHOSP.NS,Ticker_ASIANPAINT.NS,Ticker_AXISBANK.NS,Ticker_BAJAJ-AUTO.NS,Ticker_BAJAJFINSV.NS,Ticker_BAJFINANCE.NS,Ticker_BEL.NS,Ticker_BHARTIARTL.NS,Ticker_BPCL.NS,Ticker_CIPLA.NS,Ticker_COALINDIA.NS,Ticker_DRREDDY.NS,Ticker_EICHERMOT.NS,Ticker_GRASIM.NS,Ticker_HCLTECH.NS,Ticker_HDFCBANK.NS,Ticker_HDFCLIFE.NS,Ticker_HEROMOTOCO.NS,Ticker_HINDALCO.NS,Ticker_HINDUNILVR.NS,Ticker_ICICIBANK.NS,Ticker_INDUSINDBK.NS,Ticker_INFY.NS,Ticker_ITC.NS,Ticker_JIOFIN.NS,Ticker_JSWSTEEL.NS,Ticker_KOTAKBANK.NS,Ticker_LT.NS,Ticker_M&M.NS,Ticker_MARUTI.NS,Ticker_NESTLEIND.NS,Ticker_NTPC.NS,Ticker_ONGC.NS,Ticker_POWERGRID.NS,Ticker_RELIANCE.NS,Ticker_SBIN.NS,Ticker_SHRIRAMFIN.NS,Ticker_SUNPHARMA.NS,Ticker_TATACONSUM.NS,Ticker_TATASTEEL.NS,Ticker_TCS.NS,Ticker_TECHM.NS,Ticker_TITAN.NS,Ticker_TRENT.NS,Ticker_ULTRACEMCO.NS,Ticker_WIPRO.NS
19-12-2025,232,233.5,231.5,232.8899994,227.5357056,5070902,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22-12-2025,233.7899933,235.2799988,232.7700043,234.1799927,228.796051,4614185,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23-12-2025,234.6000061,237.8999939,234.6000061,235.4900055,230.075943,5810236,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24-12-2025,235.5399933,236.5700073,233.1399994,233.7700043,228.3954773,4114036,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26-12-2025,233.8399963,235.2799988,233.0500031,234.5299988,229.1380005,3710774,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29-12-2025,234.5299988,239.0200043,234,234.8200073,229.4213409,12621499,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30-12-2025,234.9499969,235.6000061,233.3099976,234.6799927,229.2845459,6236729,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31-12-2025,234.6900024,241,234.6100006,240.3800049,234.8535156,11514802,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01-2026,240.8999939,241.1100006,237.4100037,237.9400024,232.4696045,5840586,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02-01-2026,237.9400024,242.5500031,237.9400024,241.4600067,235.9086914,5925943,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
05-01-2026,246.8000031,246.8000031,235.6999969,238.0899963,232.6161499,21201434,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
06-01-2026,238.0899963,242.3600006,238.0899963,241.8899994,236.3287964,10840459,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
07-01-2026,240.2100067,241.6799927,238.1600037,239.0599976,233.563858,8253161,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
08-01-2026,238.1999969,238.8899994,231,231.4199982,226.0995026,9218488,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
09-01-2026,232.2899933,238.25,232,234.0899963,228.7081146,12706408,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12-01-2026,234.0899963,236.1600037,231.6600037,235.7100067,230.2908783,9807980,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13-01-2026,238,244.1499939,235.8000031,243.7799988,238.1753387,22527192,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16-01-2026,246.8999939,247.7799988,242.3999939,247.1699982,241.4873962,12287680,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19-01-2026,245,248,242.3000031,243.1100006,237.520752,6459249,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20-01-2026,243.1100006,245.3399963,239.7100067,240.3899994,234.8632813,6496057,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21-01-2026,240,244.4900055,239.5099945,242.3699951,236.79776,9610477,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22-01-2026,244.6000061,246.4700012,242.5700073,244.0099945,238.4000549,10746306,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23-01-2026,245.3000031,246.3000031,241.5500031,245.4700012,239.8264923,8080247,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27-01-2026,246.6000061,248.9900055,245.8899994,247.9499969,242.2494659,15915509,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02-02-2026,251.6000061,257,247.6000061,253.9499969,248.1115265,17015974,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
03-02-2026,259.7000122,262,249.3500061,257,251.0914001,19213406,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
05-02-2026,268,270.4500122,266,269.2000122,263.0109253,15268335,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
06-02-2026,268,269.9500122,264.7000122,268.9500122,262.7666931,10013728,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
09-02-2026,269.4500122,270.8999939,265.75,266.6000061,260.4707031,10824044,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10-02-2026,267.25,273.0499878,267,272.1499939,265.8930969,13459684,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11-02-2026,272.2999878,275.1000061,266.3500061,274.6000061,268.2867737,18388416,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12-02-2026,276,280.2999878,273.4500122,276.3500061,269.9965515,22753270,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13-02-2026,270,271.3500061,266,267.3999939,261.2522888,20748628,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16-02-2026,267.6499939,272.2000122,265.6499939,271.5499878,265.3068848,13247757,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17-02-2026,273,273,268.1000061,271.8500061,265.6000061,21292868,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18-02-2026,265,266.1000061,262.5499878,264.6000061,264.6000061,11621040,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23-02-2026,279.8999939,279.8999939,272.2000122,275.6499939,275.6499939,13113050,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24-02-2026,275.6499939,278.1499939,273.2999878,276.5,276.5,16311581,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25-02-2026,276.5,278.9500122,274,277.4500122,277.4500122,7573116,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26-02-2026,277.3999939,281.0499878,275.6000061,280.1000061,280.1000061,13301761,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27-02-2026,278.5,282.5,277,279.7000122,279.7000122,18554482,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10-03-2026,270.8500061,270.8999939,265.3500061,269.2000122,269.2000122,18476370,ONGC.NS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
